CodEstablecimiento;nombreComercial;Direccion;ReferenciaDireccion;telefonoPrincipal;telefonoSecundario;CorreoElectronico;delivery;paginaWeb;CodProvincia;CodComercial;CodClasificacion;CodCategoria
7231;SWEET Y COFFEE;C.C. PASEO SHOPIING  S/N BARRIO EL TROPEZON ; CC PASEO SHOPIING, LOCAL 42 A-  ;0998572646;026000115;wpatriciopacheco@hotmail.com;Si ;null;18;0100;0007;003
7232;SWEET  COFFEE;AV. DE LOS GUAYTAMBOS S/N S/N AV RODRIGO PACHANO ; FRENTE AL BANCO PICHINCHA FICOA-  ;0998572646;026000115;wpatriciopacheco@hotmail.com;Si ;null;18;0100;0007;005
7233;SWEET COFFEE;AV DEL SANTUARIO s/n FELIPE PESO; <strong>AV DEL SANTUARIO Número: S/N Intersección: FELIPE PESO Edificio:<br /> CAFETERIA Y SALAS VIP Referencia: DENTRO DEL CEMENTERIO JARDINES DE<br /> ESPERANZA</strong> ;0997052588;null;dulcafesa@gmail.com;Si;null;09;0100;0007;005
7234;SWEET Y COFFEE;loja sn malecon; AEROVIA - LOJA Y MALECON (PEÑAS) ;0997052588;042560090;dulcafesa@gmail.com;Si ;null;09;0100;0007;005
7235;SWEET Y COFFEE;via ala costa  pb oficina 7 diagonal a veris; carretera via ala costa-  km 13 edificio supermaxi numero de oficina 7 planta baja-  diagonal a veris-  ;0997052588;null;dulcafesa@gmail.com;Si ;null;09;0100;0007;005
7236;SWEET Y COFFEE;belo horizonte solar 38-1 mz 1341 belo horizonte; barrio belo horizonte-  numero 38-1 mz 1341 referente belo horizonte-  ;0997052588;null;dulcafesa@gmail.com;Si;null;09;0100;0007;003
7237;SWEET Y COFFEE;AV ING LEON FEBRES CORDERO RIBADENEYRA LOT1Y2 LOT FINCAS DE CASAGRANDE; Edificio: LA PIAZZA FINCAS DE CASAGRANDE. ;0997052588;null;dulcafesa@gmail.com;Si ;null;09;0100;0007;005
7238;SWEET Y COFFEE;Av. Naciones Unidas S/N y Av. 6 de Diciembre;C.C. QUICENTRO SHOPPING;26000115;26000115;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7239;SWEET Y COFFEE;Av. DEL PARQUE S/N Y ALONSO DE TORRES (C.C. EL BOSQUE);C.C. EL BOSQUE;0;42097765;wpatriciopacheco@hotmail.com;Si;www.sweetandcoffee.com.ec;17;0100;0007;036
7240;SWEET Y COFFEE;av. república N6-114 y Av. Amazonas (C.C. EL JARDÍN);C.C. EL JARDÍN (PATIO DE COMIDAS);0;987122566;s.taques@sweetandcoffee.com.ec;Si ;www.sweetandcoffee.com.ec;17;0100;0007;036
7241;SWEET Y COFFEE;Av. De La Prensa S/N y  av. Kennedy (c.c condado shopping);C.C. CONDADO SHOPPING;0;999852646;claragarzon04@hotmail.com;Si ;null;17;0100;0007;036
7242;SWEET Y COFFEE;Av. Amazonas N38-147 y Jose Arizaga;AL FRENTE DEL STAV;26000115;0;wpatriciopacheco@hotmail.com;Si;www.sweetandcoffee.com.ec;17;0100;0007;039
7243;SWEET Y COFFEE;Av. 6 de Diciembre N27-61 y Pasaje A;992527625;22097765;992527625;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7244;SWEET Y COFFEE;Av. Pedro Vicente Maldonado S/N Y CALVAS;CENTRO COMERCIAL EL RECREO (ACCESO 8);0;998572646;wpatriciopacheco@hotmail.com;Si ;www.sweetandcoffee.com.ec;17;0100;0007;036
7245;SWEET Y COFFEE;AV. Quitumbe Ñan S/N y Rafael Moran Valverde (QUICENTRO SUR);C.C. QUICENTRO SUR PLANTA BAJA LOCAL BK-041;987912353;998572696;wpatriciopacheco@hotmail.com;Si;null;17;0100;0007;044
7246;SWEET Y COFFEE;Oswaldo guayasamín S/N y KM7;GASOLINERA PRIMAX;0;999282248;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7247;SWEET Y COFFEE;Av. GonzÁlez SuÁrez  N32-90 y Jacinto Bejarano;A LADO DE LA CREPERIE;26000115;40297765;d.caceres@sweetandcoffee.com.ec;Si ;www.sweetandcoffee.com.ec;17;0100;0007;036
7248;SWEET Y COFFEE;Av. Interoceanica S/N Y S/n (C.C. SCALA SHOPPING);C.C. SCALA SHOPPING PISO 2;0;987787803;wpatriciopacheco@hotmail.com;Si;www.sweetandcoffee.com.ec;17;0100;0007;036
7249;SWEET Y COFFEE;Av. Amazonas N36-152 y Av. Naciones Unidas (CCI);DENTRO DEL C.C. IÑAQUITO;0;998572646;wpatriciopacheco@hotmail.com;Si ;www.sweetandcoffee.com.ec;17;0100;0007;039
7250;SWEET Y COFFEE;Av. 18 de Septiembre  E7-26 y Reina Victoria;DIAGONAL A MUTUALISTA PICHINCHA;0;998572646;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7251;SWEET Y COFFEE;Av. Eloy Alfaro N44-110 y Av. Rio Coca;EDIF. SUPERMAXI ELOY ALFARO;26000115;26022900;wpatriciopacheco@hotmail.com;Si;null;17;0100;0007;039
7252;SWEET Y COFFEE;Reina Victoria N26-161 y La Niña;A UNA CUADRA DEL BURGER KING PLAZA LA NIÑA PB;26000115;992527625;d.caceres@sweetandcoffe.com.ec;Si ;null;17;0100;0007;036
7253;SWEET Y COFFEE;República Del Salvador S/N y Suecia;A UNA CUADRA DEL MINISTERIO DE SALUD;26022900;998572646;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;039
7254;SWEET Y COFFEE;av. mariscal sucre s/n Y catÓn cÁrdenas;JUNTO A LA GASOLINERA PRIMAX;0;45022900;sirdiegor88@hotmail.com;Si;www.sweetandcoffee.com.ec;17;0100;0007;036
7255;SWEET Y COFFEE;RAMóN ROCA 668 Y AMAZONAS;JUNTO AL HOTEL MERCURI;0;46022900;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7256;SWEET Y COFFEE;AV. AMAZONAS S/N y AV. EL INCA;FRENTE A JUAN MARCET DEL INCA;26000115;958797873;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7257;SWEET Y COFFEE;AV. AMAZONAS S/N Y JOSÉ DE VILLALENGUA;DIAGONAL AL EDIFICIO DINERS;0;998572646;wpatriciopacheco@hotmail.com;Si;null;17;0100;0007;036
7258;SWEET Y COFFEE;MANUEL CÓRDOVA GALARZA  S/N Y S/N  (C.C. PLAZA POMASQUí);C.C. PLAZA POMASQUI;26000115;26000115;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7259;SWEET Y COFFEE;av. NACIONES UNIDAS S/N y Av. 6 de Diciembre (c.c. quicentro shopping);FRENTE AL ESTADIO ATAHUALPA;26000115;998572646;wpatriciopacheco@hotmail.com;Si ;www.sweetandcoffee.com.ec;17;0100;0007;036
7260;SWEET Y COFFEE;Moscú 354 Y av. República del salvador;FRENTE A CABIFY;0;979037349;bryanjan_@outlook.es;Si;null;17;0100;0007;036
7261;SWEET Y COFFEE;AV. 6 DE DICIEMBRE S/N Y MORENO ALEMÁN;EN EL MEGAMAXI;994779198;994779198;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7262;SWEET Y COFFEE;AV. 6 DE DICIEMBRE S/N y AV. GASPAR DE VILLARROEL;JUNTO A LA FARMACIA PHARMACYS;0;998572646;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;036
7263;SWEET Y COFFEE;av. REPúBLICA N6-114 Y AMAZONAS;FRENTE AL PARQUE LA CAROLINA;26022900;46022900;wpatriciopacheco@hotmail.com;Si;null;17;0100;0007;036
7264;SWEET Y COFFEE;BRASIL  oe3-41 Y bouger;FRENTE A CYRANO;0;998572646;wpatriciopacheco@hotmail.com;Si ;null;17;0100;0007;030
7265;SWEET Y COFFEE;Av. Galo plaza lasso S/n Y av. simÓn bolÍvar;EL PORTAL PISO 2 FRENTE A KAO;26000115;998572646;t.almendariz@sweetandocoffee.com.ec;Si ;null;17;0100;0007;036
7266;SWEET Y COFFEE;av río amazonas s/n y río coca;SUPERMAXI SAN RAFAEL;984556559;984556559;wpatriciopacheco@hotmail.com;Si;null;17;0100;0007;036
7267;SWEET Y COFFEE;AV. 12 DE OCTUBRE N24B y MADRID;DENTRO DEL SUPERMERCADO;26000115;998572646;d.caceres@sweetandcoffee.com.ec;Si ;null;17;0100;0007;036
7268;WALMER;ESCOBEDO 1428 Y LUQUE;null;2327531;null;null;Si ;null;09;0100;0015;044
7269;HOSTERIA BELLAVISTA;KM 2 VIA A DATA S/N S/N;A CUATRO CUADRAS DEL HOTEL AGUA CALIENTE;042764450;0999483141;hosteriabellavista@hotmail.com;No;www.hosteriabellavista.com.ec;09;0101;0037;014
7270;NORTH STAR;AV ISIDRO AYORA SOLAR 14 AV. AGUSTIN FREIRE;SAUCES 1 MZ F36 VILLA 14;042237981;0987208862;hostalguayaquil@gmail.com;No;www.hostalguayaquil.com;09;0101;0017;012
7271;MARIBEL TOUR;FEBRES CORDERO Y ELOY ALFARO, C.C. MULTICOMERCIO, OFC. 104-105;null;2640253;null;null;No;null;09;0104;0001;016
7272;AMERICA`S CLUB TRAVEL;COLON 602 Y BOYACA. EDIF. COLON, PISO 3, OF. 305;null;2516783;null;info@americasclubtravel.com;No;www.americasclubtravel.com;09;0104;0001;016
7273;MARCLUB;CDLA. PUNTA BLANCA S/N ENTRADA 5 VIA MANGLARALTO;null;2918294;null;null;No;www.marclub.com;24;0105;0032;035
7274;FUENTE DE SODA  IZZAT;PICHINCHA 209  Y AGUIRRE;null;Null;null;null;Si;null;09;0100;0015;039
7275;MARIN TRAVEL;JUNIN 434 Y BAQUERIZO MORENO;null;2569156;null;marazar@porta.net;No;null;09;0104;0002;017
7276;ANDREAS TOUR;CDLA ADACE AV 11 Y CALLE A;null;2690027;null;andreastour@hotmail.com;No;null;09;0104;0002;017
7277;TRAVELTIPS;V.E.ESTRADA 807 Y GUAYACANES;null;2388258;null;traveltips.gye@hotmail.com;No;null;09;0104;0020;034
7278;BARBARATUR S.A.;BOYACA 1616 CLEMENTE BALLEN;1ER. PISO OFC. 106, FRENTE AL HOTEL GUAYAQUIL;042518696;0999424008;barbaratur21@hotmail.com;No;null;09;0104;0002;017
7279;COMUNA SAN PEDRO;SAN PEDRO VIA PRINICPAL RUTA SPONDYLUS ;null;Null;null;null;No;null;24;0102;0012;019
7280;DISCOTECA C D GOTICA;JOSE LUIS TAMAYO  (MUEY) B CALLE PRINCIPAL;null;2874263;null;null;No;null;24;0100;0013;029
7281;SAYAGO TRAVEL;CORDOVA 604 Y MENDIBURO;null;2304664;null; psayago@interactive.net.ec;No;null;09;0104;0002;017
7282;CANSIONG TRAVEL;BOYACA 823 JUNIN - LUIS URDANETA; FRENTE A C.C. CASA ROSADA ;042561098;null;gerencia@cansiongtravel.com;No;www.cansiongtravel.com;09;0104;0001;016
7283;CONFORTUNA;BOYACA 1107 P.ICAZA; EN LA ESQUINA SE ENCUENTRA UNA SANASANA-  ;0999420305;0999795790;kathyhe_ng@hotmail.com;No;null;09;0104;0002;017
7284;OTRAMS ;CDLA. ALBORADA VI ETAPA MZ. 625 SL. 5;null;2920156;null;contabilidad@otramsturismo.com;No;www.otrasturismo.com;09;0104;0020;034
7285;HM INTERNATIONAL;CDLA. KENNEDY NORTE, SOLAR #7, MZ. 305;null;2280806;null;info@hmhotel.ec;No;www.hmhotel.ec;09;0101;0018;029
7286;NATURISSIMO;ISLA SANTA CLARA S/N AV GENERAL RUMIÑAHUI;planta bala centro comercial san luis;0425000166;0425000166;qtosanluis.naturissimo@degeremcia.com;Si ;null;17;0100;0028;001
7287;NATURAL YOGURT;AV. CARLOS ESPINOZA LARREA S/N  SAN LORENZO;null;2930445;null;null;Si ;null;24;0100;0015;039
7288;NATURISSIMO;SAN LORENZO CALLE 53 INTERSECCION AVENIDA 13 Y 14;null;Null;null;null;Si;null;24;0100;0015;039
7289;NATURISSIMO;CALLE 9 ENTRE AVENIDA 10 Y 12 CC. EL PASEO SHOPPING LOCAL 12;null;2778321;null;null;Si ;null;24;0100;0015;039
7290;NATURISSIMO SUC.;AV.QUITO Y AV. LA DELICIA C.C. PASEO SHOPPING;null;null;null;null;Si ;null;23;0100;0015;039
7291;NATURISSIMO;AV. JOSE PERALTA C.C. MILENIUM PLAZA;null;46005277;null;YESSENIA.VALLEJO@DEGEREMCIA.COM;Si;null;01;0100;0015;039
7292;NATURISSIMO;VIA INTEROCEANICA S/N. C.C. VILLA CUMBAYA LOCAL 24;null;2892927;null;null;Si ;null;17;0100;0015;039
7293;NATURISSIMO;CENTRO COMERCIAL PASEO SHOPPING;null;2982550;null;machalashopping.naturissimo@deremcia.com;Si ;null;07;0100;0015;035
7294;NATURISSIMO;ROCAFUERTE E/9 DE MAYO Y JUAN MONTALVO;null;2921060;null;machalacentro.naturissimo@deremcia.com;Si;null;07;0100;0015;035
7295;NATURISSIMO;AV. FERROVIARIA TERMINAL TERRESTRE DE MACHALA;null;null;null;null;Si ;null;07;0100;0015;044
7296;NATURISSIMO;QUITUMBE ÑAN S/N Y AV RAFAEL MORAN   ;null;4000132;null;qtoquicentrosur.naturissimo@degeremcia.com;Si ;null;17;0100;0015;039
7297;NATURAL YOGURT;AV CARLOS ESPINOZA LARREA S/N SAN LORENZO ;null;2930445;null;null;Si;null;09;0100;0015;039
7298;NATURISSIMO;4 DE NOVIEMBRE S/N Y CALLE 113;null;2925452;null;zona.manabi@degeremcia.com;Si ;null;13;0100;0015;039
7299;NATURISSIMO JIPIJAPA;AV. ALEJO LASCANO. EDIFICIO MI COMISARIATO JIPIJAPA;null;45000199;null;martha.demera@degeremcia.com;Si ;null;13;0100;0015;044
7300;NATURISSIMO;PASEO SHOPPING, PATIO DE COMIDAS;null;052933052;null;null;Si;null;13;0100;0015;044
7301;NATURISSIMO ;C.C. PASEO SHOPPING QUEVEDO;null;52754257;null;shoppingquevedo.naturissimo@degeremcia.com;Si ;null;12;0100;0015;039
7302;NATURISIMO;C.C. PASEO SHOPPING BABAHOYO;null;Null;null;null;Si ;null;12;0100;0015;044
7303;INMOBILIARIA DIVIMONT S.A.;Punta Estrada S/N Punta Estrada;null;052526348;0982920477;info@galapagosmoonrise.com;No;null;20;0101;0017;013
7304;TASCA DE CARLOS LA;CORDOVA 1002 ENTRE P. ICAZA Y 9 DE COTUBRE;null;2323755;null;null;Si;null;09;0100;0028;035
7305;PRESIDENTE INT;Quisquis 112 Ximena y Riobamba ; Bajndo por la calle Junin pasando el UPC diagonal al garaje ;0959021915;0422306176;mloor57@gmail.com;No;https://presidenteinternacional.com;09;0101;0018;012
7306;CARMAX ;CDLA. SIMÓN BOLÍVAR MZ. 4 SOLAR 25 AV. DE LAS AMÉRICAS S/N Y CALLE PRIMERA;null;2398305;null;mario@carmaxrentacar.com;No;www.carmaxrentacar.com;09;0106;0035;038
7307;RESACA;MALECON 2000 INTERSECCION JUNIN;null;2396800;null;null;Si ;null;09;0100;0028;035
7308;MYM TRAVEL GROUP;MK 6.5 VIA A SAMBORONDON SN C.C. PLAZA LAGOS TOWN CENTER II, EDIF. MIRADOR ESTE, PISO 1, OF. 1-05;FRENTE AL MC DONALDS;Null;0999777487;luis.tola@mymtravel.com;No;null;09;0104;0001;016
7309;M Y M ECUACONSOLIDADORA;9 DE OCTUBRE 100 Y MALECÓN EDIFICIO BANCO LA PREVISORA PISO 25 OFICINA 2503;null;2326880;null;es ignacio.roca@mymtravel.com;No;www.ecuaconsolidadora.com;09;0104;0001;016
7310;MYM TRAVEL GROUP;Yanez Pinzon N26-243 y Orellana;null;22983800;994043246;maria.lara@mymtravel.com;No;www.mymtravelgroup.com;17;0104;0001;016
7311;MYM TRAVEL GROUP;YANEZ PINZÓN N26-243  Y FRANCISCO DE ORELLANA;A LADO DE ALMACENES JUAN ELJURI;22983800;991955348;guillermo.cueva@mymtravel.com;No;www.mymtravelgroup.com;17;0104;0003;018
7312;NANCY `S TUR;AGUIRRE  120 ENTRE PICHINCHA Y MALECON;null;2326977;null;nancystur@hotmail.com;No;null;09;0104;0002;017
7313;CERRO LOBO GUEST HOUSE;VIA RUTA SPONDYLUS S/N CRUCE A LA RINCONADA; E-15 VIA SANTA ELENA - MANABI ;0993275426;null;reservas@cerrolobo.com;No;null;24;0101;0037;014
7314;LANI;AV.FCO DE ORELLANA Y MIGUEL H. ALCIVAR, KENNEDY NORTE, MZ. 154 SOLAR 2 EDIF. LAS CAMARAS LOCAL 4;null;994139192;null;null;Si ;null;09;0100;0007;044
7315;COMUNA CAUCHICHE;ISLA PUNA, RECINTO CAUCHICHE, AV. DEL DISPENSARIO ;null;098579094;null;obdulia1710@hotmail.com;No;null;09;0102;0012;019
7316;BERTINI.S TOURS;ASUNCION 105 Y BOGOTA;null;2346223;null;info@bertinitours.com;No;null;09;0104;0020;034
7317;TRANSPORTES Y TURISMO KONQUISTADORES DEL VOLANTE;QUIZ QUIZ S/N Y QUIDALEN Y CAÑARIS;null;032412785;null;omejiaf413@hotmail.com;No;null;18;0106;0035;043
7318;GARZA ROJA;CDLA. LOTIZACION LOS CANALES S/N KM. 36 VIA A DAULE;null;6001354;null;null;No;null;09;0103;0011;035
7319;DREAMKAPTURE;Alborada etapa 12. Calle Sixto Juan Bernal 21 Benjamin Carrion; A 200 cuadras de la Av. Benjamín Carrión ;0984077777;null;lourdes@dreamkapture.com;No;www.dreamkapturetravel.com;09;0104;0020;034
7320;PASTELERIA ADRIANA;AV. FELIPE PEZO Y AV. BENJAMIN CARRION, MZ 105 C.C CITY MALL ISLA I-204;null;043068122;null;adrianapasteleria@gmail.com;Si;null;09;0100;0007;039
7321;PASTELERIA ADRIANA;C.C. PIAZZA CEIBOS, LOCAL A15, CARRETERO GUAYAQUIL - SALINAS KM. 6, SOLAR 14, MZ. 2;null;995267337;null;inglusan@hotmail.com;Si ;null;09;0100;0007;039
7322;PASTELERIA ADRIANA;AV. 25 DE JULIO ENTRE JOSE DE LA CUADRA Y ERNESTO ALBAN, CC MALL DEL SUR LOCAL 25;null;2085214;null;ADRIANAPASTELERIA@GMAIL.COM;Si ;null;09;0100;0007;039
7323;PASTELERIA ADRIANA;C.C. LAGUNA PLAZA, LOCAL 203-204, VIA A LA COSTA 12.5;null;6024071;null;INGLUNSAN@HOTMAIL.COM;Si;null;09;0100;0007;039
7324;PASTELERIA ADRIANA;ALBORADA DECIMA SEGUNDA ETAPA, MZ 12-19, LOCAL 24;null;2273196;null;adrianapasteleria@gmail.com;Si ;null;09;0100;0007;039
7325;PASTELERIA ADRIANA;C.C.LA PIAZZA , VILLA CLUB, LOCAL 29, KM 12.5 VIA LA PUNTILLA- PASCUALES;null;276038;null;adrianapasteleria@gmail.com;Si ;null;09;0100;0007;039
7326;PASTELERIA ADRIANA;C.C.VILLAGE PLAZA LOCAL 20, PB;null;Null;null;adrianapasteleria@gmail.com;Si;null;09;0100;0007;039
7327;PASTELERIA ADRIANA;C.C. MALL DEL SOL, OF. A-116B.;null;2082711;null;pasteleriaadriana@gmail.com;Si ;null;09;0100;0015;044
7328;CHIFA WOK;CALLE  NOVENA ENTRE LA  DECIMA  Y  LA  12  AVA MZ.  38 C.C PASEO SHOPPING;null;2930384;null;null;Si ;null;24;0100;0028;039
7329;CHINA WOK;CDLA. ENTRE  RIOS  JM  1/5 VIA SAMBORONDON;null;2836630;null;null;Si;null;09;0100;0028;020
7330;CHINA WOK;AV. 25  DE  JULIO C.C. RIOCENTRO  SUR LOCAL  C-8;null;null;null;null;Si ;null;09;0100;0028;035
7331;CHINA WOK;AV. 25  DE  JULIO Y JOSE  DE LA CUADRA C.C MALL DEL  SUR LOCAL 263;null;null;null;null;Si ;null;09;0100;0028;035
7332;LAS PEÑAS;ESCOBEDO 1215 VELEZ;JUNTO A LA PANADERIA CALIFORNIA;042323355;0990728614;operaciones@hlpgye.ec;No;www.hlpgye.ec;09;0101;0018;012
7333;MEDEL COLIBRI;AV. GENERAL RUMIÑAHUI S/N A 300 METROS DEL MONUMENTO A COLIBRI ;null;2872082;null;null;Si;null;17;0100;0015;044
7334;HOTEL CASTELL;Av. Miguel H. Alcivar 11 calle Pompilio Ulloa; Kennedy Norte, Av. Miguel H. Alcivar y calle Pompilio Ulloa esquina Manzana 309 solar 11 frente al Parque Japonés. ;0997709500;042680190;vicente@hotelcastell.com;No;https://www.hotelcastell.com;09;0101;0018;013
7335;HOSTAL SOL Y MAR;AVENIDA PRINCIPAL S/N PRIMERO DE MAYO;A MEDIA CUADRA DEL RESTAURANTE DE MAURO;042780657;0982847371;angelneiravicuna2018@gmail.com;No;null;24;0101;0017;011
7336;WHITE;C.C. LA PIAZZA, OF. 8-4;null;2833555;null;null;No;null;09;0100;0013;035
7337;PALMERAS LAS;AV. ENRIQUEZ GALLO S/N Y CALLE RUMIÑAHUI ESQ.;null;2770031;null;null;No;null;24;0101;0017;039
7338;JUNGLEADVENTOURS;AV FRANCISCO DE ORELLANA Mz. 1 V1 RODOLFO BAQUERIZO NAZUR ESQUINA ;DIAGONAL AL DEPOSITO DE MATERIALES DE CONSTRUCCION ROCAFUERTE;042232627;0994501537;agenciadeviajejungle@hotmail.com;No;null;09;0104;0020;034
7339;MARCELIUS;JOSE FALCONI SOLAR JOSE ALAVEDRA TAMA;DETRAS DE LA GASOLINERA PRIMAX;046026422;0992155978;elovato@hotelmarcelius.ec;No;www.hotelmarcelius.ec;09;0101;0018;013
7340;MARCELIUS;MIGUEL HILARIO ALCIVAR SOLAR 4 JOSE ALAVEDRA TAMA;DETRÁS DE LA GASOLINERA PRIMAX;046052244;0992300974;elovato@hotelmarcelius.ec;No;www.hotelmarcelius.ec;09;0101;0018;012
7341;ECUADIVE;AV FRANCISCO BOLOÑA 727 Y CARLOS LUIS PLAZA DAÑIN;null;2284298;null;info@ecuadive.com;No;WWW.ECUADIVE.COM;09;0104;0020;034
7342;MISSING TRAVEL;FRANCISCO DE PAULA ICAZA 437 ENTRE CORDOVA Y BAQUERIZO MORENO, EDIF GRAN PASAJE, LOCAL 3 A;null;2300983;null;mtravel@ecua.net.ec;No;null;09;0104;0002;017
7343;QUIL;CDLA. NAVAL NORTE, CALLE SUFRAGIO LIBRE SOLAR 10, MZ 6;null;2391942;null;hostalquil@hotmail.com;No;null;09;0101;0017;035
7344;BAMBUTRAVEL;AV. PRINCIPAL#32 EDIF. LIBRICAN;null;null;null;null;No;null;09;0104;0001;016
7345;AVIAM S A;AV. RIO GUAYAS SOLAR 20 AV. PRIMERA;FRENTE A LA IGLESIA SANTA TERESITA;null;0991796937;ialavam@hotmail.com;No;null;09;0104;0002;017
7346;TOUR CENTER;MALECON SIMON BOLIVAR 1709 Y 10 DE AGOSTO;null;2511071;null;tourcenter@skytel.com.ec;No;null;09;0104;0002;017
7347;LANCHA DEEP  BLUE;BASE DE OPERACIONES EN PTO. BAQ. MORENO;null;2520341;null;null;No;null;20;0106;0034;028
7348;ARROPADITOS;CDLA. KENNEDY NORTE, AV. CARLOS LUIS PLAZA DAÑIN S/N Y AV. FCO. DE ORELLANA.  C.C. SAN MARINO, PISO 2, LOCAL 1-19;null;091192225;null;null;Si ;null;09;0100;0028;039
7349;CANCHITA LA;CDLA .KENNEDY NORTE AV. FRANCISCO DE ORELLANA#13-16 ALEJANDRO ANDRADE COELLO MZ .101;null;2290645;null;null;Si ;null;09;0100;0028;039
7350;SASHA BEACH CLUB;avenida Enriquez Gallos S/N Calle Trece;Atrás de Gasolinera Aquario;997238976;997238976;eduruiz100@hotmail.com;No;null;24;0100;0004;002
7351;CANTO BAR;CDLA. GUAYAQUIL, LOTE 1-2, MZ. 506 - EDIF. TORRES DEL NORTE B, LOCAL 5;null;Null;null;null;No;null;09;0100;0004;039
7352;NUR;PORTETE #405-413 ENTRE CHILE Y CHIMBORAZO EDIF. PLAZA DEL PARQUE;null;2345890;null;null;Si;null;09;0100;0028;039
7353;DON JUAN ;CDLA. LA GARZOTA, AV. GUILLERMO PAREJA, C.C. GARZOCENTRO 2000, LOCAL 301;null;2626102;null;operacionespersa@gmail.com;Si ;null;09;0100;0028;044
7354;DON CAMARON ;AV. DEL BOMBERO S/N C.C. RIOCENTRO LOS CEIBOS, OF. C-7 KM 6Y7 VIA A LA COSTA;null;2205758;null;nowinsa@hotmail.com;Si ;null;09;0100;0028;039
7355;DON CAMARON;C.C. MALLDEL SOL LC. 14;null;2205758;null;null;Si;null;09;0100;0028;039
7356;DON CAMARON ;C.C, RIOCENTRO EL DORADO OF. C-22, KM 10.5 VIA LA AURORA;null;2205758;null;nowinsa@hotmail.com;Si ;null;09;0100;0028;039
7357;DON CAMARON ;CDLA. EL CONDOR, AV. FRANCISCO DE ORELLANA  S/N  Y  AV. GUILLERMO PAREJA ROLANDO  -  C.C. RIOCENTRO NORTE, LOCAL #C12;null;2206758;null;null;Si ;null;09;0100;0028;039
7358;YACHTGALA;SEYMOR NORTE S/N PIQUERO;A LADO DEL MONEY GRAM EDEN;052524389;0999330494;nautigal@interactive.net.ec;No;www.yachtgala.com.ec;20;0104;0020;034
7359;CAFE DE TERE;CDLA. LA GARZOTA MZ 102, SOLAR 7;null;279813;null;null;Si;null;09;0100;0007;039
7360;CAFE DE TERE EL ;CDLA. URDESA, CALLE TODOS LOS SANTOS 103B - 103C Y VICTOR E. ESTRADA;null;Null;null;null;Si ;null;09;0100;0028;039
7361;CAFE DE TERE;CDLA. ALBORADA 8VA ETAPA MZ 807 SOLAR 2;null;Null;null;null;Si ;null;09;0100;0007;039
7362;CAFE DE TERE EL;KM. 11.5 VIA GUAYAQUIL - SALINAS, C.C. PLAZA COLONIA, LOCALES 4 Y 5, PB.;null;2877050;null;info@elcafedetere.com;Si;null;09;0100;0007;039
7363;EL CAFE DE TERE;PARQUE EMPRESARIAL COLON Y AV. RODRIGO CHAVEZ, ED. PACIFIC PLAZA, PB, LOCAL 006-006A;null;46155081;null;contabilidad@elcafedetere.com;Si ;null;09;0100;0007;039
7364;EL CAFÉ DE TERE;URB. MILAN, PRIMERA ETAPA, SOLAR 2, MZ. 2, C.C. PLAZA MILÁN, LOCAL 1;null;6017347;null;null;Si ;null;09;0100;0007;039
7365;CAFE DE TERE EL;GENERAL ELIZALDE 117 ENTRE PICHINCHA Y MALECON;null;2516862;null;cafecentro@outlook.ec;Si;null;09;0100;0007;039
7366; CAFE DE TERE;VIA LA COSTA, PORTAL DEL SOL #1-2-3 MZ. 1383;null;096777491;null;contabilidad@elcafedetere.com;Si ;null;09;0100;0007;039
7367;AVISTA TRAVEL;AVENIDA ENRIQUEZ GALLOS S/N CALLE 40;ATRAS DEL HOTEL BARCELO SALINAS;099705817;0997058171;cuqui_beia@hotmail.com;No;null;24;0104;0020;034
7368;YOGURT PERSA KAMAL;MALECON DEL SALADO, BLOQUE NORTE , L 1.;null;2863058;null;null;Si ;null;09;0100;0007;039
7369;RESTAURANTE IMUYSA;CDLA. EL PARAISO AV. CARLOSJULIO AROSEMENA  #101 Y LOS CIRUELOS ;null;099093555;null;null;Si;null;09;0100;0028;020
7370;SUITES COSTA DE ORO;AV. PUERTO LUCIA S/N CALLE 8;DIAGONAL AL CENTRO COMERCIAL EL PASEO SHOPPING;042777545;0994174180;costadeoro@gmail.com;No;null;24;0101;0018;013
7371;COURTYARD BY MARRIOTT GUAYAQUIL;AV. FRANCISCO DE ORELLANA 236 JUNTO AL BANCO AMAZONAS;FRENTE AL ALMACEN JUAN MARCET;046009200;0999591380;abarros@gruamazonas.com;No;www.marriott.com;09;0101;0018;014
7372;D`MATILDE;GENERAL CORDOVA # 804 ENTRE JUNIN Y VICTOR MANUEL RENDON;null;Null;null;null;Si ;null;09;0100;0015;039
